,식당명,별점,구,주소,음식종류,가격대,리뷰날짜,리뷰평가,리뷰수,맛있다수,괜찮다수,별로다수,평점
0,도이칠란드 박,4.6,성북구, 서울특별시 성북구 솔샘로6길 30-15 1F,다국적음식, 만원-2만원,2022-07-04,맛있다,21,19.0,0.0,2.0,3.285714285714285
1,뽀르께노 스페니쉬비스트로,4.6,성북구, 서울특별시 성북구 동소문로6길 4-21 1F,다국적음식, 만원-2만원,2022-07-22,맛있다,7,7.0,0.0,0.0,4.6
2,공푸,4.5,성북구, 서울특별시 성북구 삼선교로24길 29,중식, 만원 미만,2022-07-07,별로,91,76.0,11.0,4.0,3.3626373626373627
3,성북동집,4.5,성북구, 서울특별시 성북구 성북로24길 4,한식, 만원-2만원,2022-07-28,맛있다,41,35.0,6.0,0.0,3.841463414634146
4,계모임,4.5,성북구, 서울특별시 성북구 보문로30라길 5-10 1F,한식, 만원-2만원,5 일 전,맛있다,10,10.0,0.0,0.0,4.5
5,옥돌,4.5,성북구, 서울특별시 성북구 동소문로17길 11,양식, 만원-2만원,2022-07-18,맛있다,5,5.0,0.0,0.0,4.5
6,우정초밥,4.4,성북구, 서울특별시 성북구 종암로3길 31 1F,일식, 2만원-3만원,2022-06-18,맛있다,31,28.0,3.0,0.0,3.974193548387097
7,모짜,4.4,성북구, 서울특별시 성북구 성북로 102,양식, 만원-2만원,2022-01-31,괜찮다,49,39.0,9.0,1.0,3.322448979591837
8,일흥콩나물국밥,4.4,성북구, 서울특별시 성북구 고려대로5길 77,한식, 만원 미만,2022-05-16,맛있다,11,11.0,0.0,0.0,4.4
9,드시소,4.4,성북구, 서울특별시 성북구 보국문로 86-3 1F,주점, 2만원-3만원,2022-05-15,맛있다,8,8.0,0.0,0.0,4.4
10,마실참숯불생고기집,4.4,성북구, 서울특별시 성북구 종암로38길 41-2,한식, 만원-2만원,2022-07-21,맛있다,7,7.0,0.0,0.0,4.4
11,고른햇살,4.3,성북구, 서울특별시 성북구 개운사길 27,한식, 만원 미만,2022-07-29,맛있다,268,203.0,52.0,13.0,2.8399253731343284
12,성북동누룽지백숙,4.3,성북구, 서울특별시 성북구 성북로31길 9,한식, 만원 미만,2022-07-16,맛있다,169,127.0,33.0,9.0,2.773372781065089
13,팔백집,4.3,성북구, 서울특별시 성북구 보문로30길 46,한식, 만원-2만원,2022-07-04,맛있다,30,24.0,5.0,1.0,3.153333333333333
14,바람난오리궁뎅이,4.3,성북구, 서울특별시 성북구 보국문로29길 15,한식, 2만원-3만원,2021-07-30,맛있다,19,18.0,1.0,0.0,4.073684210526316
15,영순관,4.3,성북구, 서울특별시 성북구 지봉로24길 19,중식, 만원 미만,2022-01-30,맛있다,9,8.0,1.0,0.0,3.822222222222222
16,한상차림밥상,4.3,성북구, 서울특별시 성북구 고려대로8길 35 1F,한식, 만원-2만원,2022-07-03,맛있다,26,21.0,3.0,2.0,2.8115384615384618
17,밀곳간,4.3,성북구, 서울특별시 성북구 성북로18길 19,카페/디저트, 만원 미만,2022-08-02,맛있다,14,14.0,0.0,0.0,4.3
18,제주고깃집,4.3,성북구, 서울특별시 성북구 안암로 69-1,한식, 만원-2만원,2022-07-25,맛있다,26,23.0,2.0,1.0,3.4730769230769227
19,참나무닭나라,4.3,성북구, 서울특별시 성북구 동소문로8길 12,한식, 만원 미만,2022-03-23,맛있다,18,17.0,0.0,1.0,3.583333333333333
20,토로생선구이,4.3,성북구, 서울특별시 성북구 고려대로28길 14-1,한식, 만원-2만원,2022-03-31,맛있다,10,9.0,1.0,0.0,3.8699999999999997
21,달밝은집,4.3,성북구, 서울특별시 성북구 정릉로6길 35,한식, 만원-2만원,2021-10-31,맛있다,9,8.0,0.0,1.0,2.8666666666666663
22,애정마라샹궈,4.2,성북구, 서울특별시 성북구 동소문로24길 23 2F,중식, 만원-2만원,2022-08-09,별로,165,129.0,25.0,11.0,2.723636363636364
23,안동반점,4.2,성북구, 서울특별시 성북구 고려대로1길 35-1,중식, 만원 미만,2022-08-10,맛있다,32,25.0,4.0,3.0,2.49375
24,동병상련,4.2,성북구, 서울특별시 성북구 정릉로10길 42-6,카페/디저트, 만원 미만,2022-04-24,맛있다,7,7.0,0.0,0.0,4.2
25,수아당,4.2,성북구, 서울특별시 성북구 동소문로20가길 33 1F,한식, 만원 미만,2022-06-29,맛있다,20,17.0,2.0,1.0,3.1500000000000004
26,오스테리아치티,4.2,성북구, 서울특별시 성북구 성북로5길 12 101호,양식, 2만원-3만원,2022-04-16,맛있다,10,8.0,2.0,0.0,3.3600000000000003
27,임금님자장면,4.2,성북구, 서울특별시 성북구 보국문로 91,중식, 만원 미만,2022-06-29,맛있다,12,10.0,2.0,0.0,3.5
28,스시다온,4.1,성북구, 서울특별시 성북구 한천로80길 51 2F,일식, 3만원-4만원,2022-06-23,괜찮다,12,8.0,4.0,0.0,2.733333333333333
29,오샬,4.1,성북구, 서울특별시 성북구 인촌로24길 6 문원빌딩 3F,다국적음식, 만원-2만원,2022-04-01,맛있다,67,46.0,16.0,5.0,2.2029850746268655
30,동우설렁탕,4.1,성북구, 서울특별시 성북구 개운사길 45,한식, 만원 미만,2022-07-23,맛있다,54,38.0,14.0,2.0,2.581481481481481
31,일상,4.1,성북구, 서울특별시 성북구 성북로 106,카페/디저트, 만원 미만,2022-05-22,맛있다,28,26.0,1.0,1.0,3.5142857142857142
32,병과점임오반,4.1,성북구, 서울특별시 성북구 동소문로17길 27 102호,카페/디저트, 만원 미만,2022-06-02,맛있다,11,11.0,0.0,0.0,4.1
33,김통,4.1,성북구, 서울특별시 성북구 동소문로 124,한식, 만원-2만원,2021-09-25,맛있다,31,24.0,3.0,4.0,2.1161290322580646
34,샤뽀블랑,4.1,성북구, 서울특별시 성북구 성북로 60,카페/디저트, 만원 미만,2022-07-31,맛있다,19,17.0,2.0,0.0,3.668421052631578
35,명문막국수,4.1,성북구, 서울특별시 성북구 창경궁로 319,한식, 만원 미만,5 일 전,맛있다,19,16.0,3.0,0.0,3.452631578947368
36,스프레드,4.1,성북구, 서울특별시 성북구 성북로6가길 1 1F,카페/디저트, 만원 미만,2022-07-31,맛있다,11,9.0,2.0,0.0,3.3545454545454545
37,이공김밥,4.1,성북구, 서울특별시 성북구 안암로 61-6,한식, 만원 미만,2022-05-01,맛있다,16,10.0,6.0,0.0,2.5625
38,길음모소리,4.1,성북구, 서울특별시 성북구 삼양로 13,한식, 만원-2만원,2022-06-28,맛있다,13,10.0,2.0,1.0,2.523076923076923
39,동선식당,4.1,성북구, 서울특별시 성북구 보문로30라길 9,한식, 만원-2만원,2022-05-09,괜찮다,9,7.0,2.0,0.0,3.188888888888888
40,비나케이크,4.1,성북구, 서울특별시 성북구 보문로30길 12 101호,카페/디저트, 만원-2만원,2022-05-23,괜찮다,22,16.0,6.0,0.0,2.9818181818181815
41,유목커피바,4.1,성북구, 서울특별시 성북구 동소문로24길 47 2F,카페/디저트, 만원 미만,5 일 전,맛있다,9,7.0,1.0,1.0,2.2777777777777772
42,디프커피,4.1,성북구, 서울특별시 성북구 동소문로26가길 56,카페/디저트, 만원 미만,2021-04-20,맛있다,7,6.0,1.0,0.0,3.514285714285714
43,와플앨리,4.1,성북구, 서울특별시 성북구 인촌로28길 21 1F,카페/디저트, 만원 미만,2022-04-04,맛있다,22,17.0,5.0,0.0,3.1681818181818175
44,바테일러,4.1,성북구, 서울특별시 성북구 아리랑로2길 23,주점, 2만원-3만원,2022-05-29,괜찮다,9,8.0,1.0,0.0,3.644444444444444
45,반지,4.1,성북구, 서울특별시 성북구 인촌로26길 35 B1,양식, 만원-2만원,2022-07-21,맛있다,8,7.0,0.0,1.0,2.5624999999999996
46,버거파크,4.0,성북구, 서울특별시 성북구 동소문로22길 56-1,양식, 만원 미만,2022-07-18,별로,135,102.0,23.0,10.0,2.4296296296296296
47,성북동면옥집,4.0,성북구, 서울특별시 성북구 대사관로 40,한식, 만원-2만원,2022-05-15,맛있다,56,33.0,16.0,7.0,1.3571428571428572
48,너의냠냠버거,4.0,성북구, 서울특별시 성북구 성북로7길 4,양식, 만원 미만,2022-06-07,맛있다,35,27.0,8.0,0.0,3.085714285714286
49,라라면가,4.0,성북구, 서울특별시 성북구 동소문로22길 57-25,중식, 만원 미만,3 일 전,별로,50,34.0,12.0,4.0,2.08
50,청수장,4.0,성북구, 서울특별시 성북구 정릉로 237-2,한식, 만원-2만원,2021-11-23,맛있다,15,12.0,3.0,0.0,3.2
